id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Blitar_2023-11-21T18:00:00,Blitar,2023-11-21 18:00:00,3,Berawan,85,24.0,75.0,37,162,16.8,1009,2023-11-21 18:00:00
Blora_2023-11-21T00:00:00,Blora,2023-11-21 00:00:00,1,Cerah Berawan,70,29.0,84.0,75,9,8.5,1010,2023-11-21
Blora_2023-11-21T06:00:00,Blora,2023-11-21 06:00:00,3,Berawan,55,35.0,95.0,79,9,7.1,1010,2023-11-21 06:00:00
Blora_2023-11-21T12:00:00,Blora,2023-11-21 12:00:00,60,Hujan Ringan,70,29.0,84.0,73,21,6.4,1009,2023-11-21 12:00:00
Blora_2023-11-21T18:00:00,Blora,2023-11-21 18:00:00,3,Berawan,85,25.0,77.0,81,24,16.1,1007,2023-11-21 18:00:00
Bogor_2023-11-21T00:00:00,Bogor,2023-11-21 00:00:00,1,Cerah Berawan,80,26.0,79.0,61,177,5.6,1010,2023-11-21
Bogor_2023-11-21T06:00:00,Bogor,2023-11-21 06:00:00,61,Hujan Sedang,50,33.0,91.0,61,177,6.0,1011,2023-11-21 06:00:00
Bogor_2023-11-21T12:00:00,Bogor,2023-11-21 12:00:00,61,Hujan Sedang,80,25.0,77.0,76,177,5.2,1010,2023-11-21 12:00:00
Bogor_2023-11-21T18:00:00,Bogor,2023-11-21 18:00:00,3,Berawan,90,21.0,70.0,74,177,3.0,984,2023-11-21 18:00:00
Bojonegoro_2023-11-21T00:00:00,Bojonegoro,2023-11-21 00:00:00,1,Cerah Berawan,70,29.0,84.0,67,160,9.3,1010,2023-11-21
Bojonegoro_2023-11-21T06:00:00,Bojonegoro,2023-11-21 06:00:00,0,,45,34.0,93.0,64,160,9.0,1010,2023-11-21 06:00:00
Bojonegoro_2023-11-21T12:00:00,Bojonegoro,2023-11-21 12:00:00,60,Hujan Ringan,80,28.0,82.0,65,31,10.0,1009,2023-11-21 12:00:00
Bojonegoro_2023-11-21T18:00:00,Bojonegoro,2023-11-21 18:00:00,3,Berawan,90,25.0,77.0,71,28,13.8,1007,2023-11-21 18:00:00
Bondowoso_2023-11-21T00:00:00,Bondowoso,2023-11-21 00:00:00,0,,75,27.0,81.0,35,205,4.8,1012,2023-11-21
Bondowoso_2023-11-21T06:00:00,Bondowoso,2023-11-21 06:00:00,3,Berawan,55,32.0,90.0,41,205,4.2,1012,2023-11-21 06:00:00
Bondowoso_2023-11-21T12:00:00,Bondowoso,2023-11-21 12:00:00,60,Hujan Ringan,75,27.0,81.0,40,210,5.6,1010,2023-11-21 12:00:00
Bondowoso_2023-11-21T18:00:00,Bondowoso,2023-11-21 18:00:00,0,,90,24.0,75.0,41,200,1.5,1010,2023-11-21 18:00:00
Bontang_2023-11-21T00:00:00,Bontang,2023-11-21 00:00:00,60,Hujan Ringan,100,25.0,77.0,39,198,7.5,1009,2023-11-21
Bontang_2023-11-21T06:00:00,Bontang,2023-11-21 06:00:00,3,Berawan,75,29.0,84.0,35,198,8.5,1010,2023-11-21 06:00:00
Bontang_2023-11-21T12:00:00,Bontang,2023-11-21 12:00:00,1,Cerah Berawan,85,27.0,81.0,27,131,12.1,1009,2023-11-21 12:00:00
Bontang_2023-11-21T18:00:00,Bontang,2023-11-21 18:00:00,1,Cerah Berawan,95,25.0,77.0,30,116,9.1,1007,2023-11-21 18:00:00
Boyolali_2023-11-21T00:00:00,Boyolali,2023-11-21 00:00:00,1,Cerah Berawan,75,28.0,82.0,42,192,10.5,1012,2023-11-21
Boyolali_2023-11-21T06:00:00,Boyolali,2023-11-21 06:00:00,3,Berawan,60,34.0,93.0,43,192,9.2,1012,2023-11-21 06:00:00
Boyolali_2023-11-21T12:00:00,Boyolali,2023-11-21 12:00:00,60,Hujan Ringan,75,27.0,81.0,39,197,10.1,1011,2023-11-21 12:00:00
Boyolali_2023-11-21T18:00:00,Boyolali,2023-11-21 18:00:00,3,Berawan,85,25.0,77.0,53,204,13.6,1009,2023-11-21 18:00:00
Brebes_2023-11-21T00:00:00,Brebes,2023-11-21 00:00:00,1,Cerah Berawan,70,29.0,84.0,48,200,11.1,1010,2023-11-21
Brebes_2023-11-21T06:00:00,Brebes,2023-11-21 06:00:00,3,Berawan,55,33.0,91.0,43,200,10.4,1010,2023-11-21 06:00:00
Brebes_2023-11-21T12:00:00,Brebes,2023-11-21 12:00:00,60,Hujan Ringan,70,29.0,84.0,54,193,2.6,1009,2023-11-21 12:00:00
Brebes_2023-11-21T18:00:00,Brebes,2023-11-21 18:00:00,3,Berawan,90,24.0,75.0,55,190,5.1,1007,2023-11-21 18:00:00
Bukittinggi_2023-11-21T00:00:00,Bukittinggi,2023-11-21 00:00:00,3,Berawan,100,18.0,64.0,40,247,2.8,1012,2023-11-21
Bukittinggi_2023-11-21T06:00:00,Bukittinggi,2023-11-21 06:00:00,3,Berawan,70,24.0,75.0,35,247,1.8,1012,2023-11-21 06:00:00
Bukittinggi_2023-11-21T12:00:00,Bukittinggi,2023-11-21 12:00:00,3,Berawan,100,20.0,68.0,46,257,4.2,1012,2023-11-21 12:00:00
Bukittinggi_2023-11-21T18:00:00,Bukittinggi,2023-11-21 18:00:00,45,Berkabut,100,18.0,64.0,48,256,4.6,1010,2023-11-21 18:00:00
Bulukumba_2023-11-21T00:00:00,Bulukumba,2023-11-21 00:00:00,1,Cerah Berawan,70,28.0,82.0,44,100,8.9,1010,2023-11-21
Bulukumba_2023-11-21T06:00:00,Bulukumba,2023-11-21 06:00:00,3,Berawan,65,34.0,93.0,34,100,9.4,1011,2023-11-21 06:00:00
Bulukumba_2023-11-21T12:00:00,Bulukumba,2023-11-21 12:00:00,3,Berawan,80,28.0,82.0,34,97,18.6,1010,2023-11-21 12:00:00
Bulukumba_2023-11-21T18:00:00,Bulukumba,2023-11-21 18:00:00,3,Berawan,85,25.0,77.0,37,103,12.7,1008,2023-11-21 18:00:00
Buol_2023-11-21T00:00:00,Buol,2023-11-21 00:00:00,1,Cerah Berawan,90,27.0,81.0,27,336,8.2,1009,2023-11-21
Buol_2023-11-21T06:00:00,Buol,2023-11-21 06:00:00,60,Hujan Ringan,90,26.0,79.0,26,336,7.0,1010,2023-11-21 06:00:00
Buol_2023-11-21T12:00:00,Buol,2023-11-21 12:00:00,3,Berawan,100,25.0,77.0,27,178,7.7,1009,2023-11-21 12:00:00
Buol_2023-11-21T18:00:00,Buol,2023-11-21 18:00:00,60,Hujan Ringan,95,23.0,73.0,27,178,3.0,1007,2023-11-21 18:00:00
Ciamis_2023-11-21T00:00:00,Ciamis,2023-11-21 00:00:00,60,Hujan Ringan,80,25.0,77.0,45,150,3.1,1012,2023-11-21
Ciamis_2023-11-21T06:00:00,Ciamis,2023-11-21 06:00:00,3,Berawan,55,32.0,90.0,36,150,0.8,1012,2023-11-21 06:00:00
Ciamis_2023-11-21T12:00:00,Ciamis,2023-11-21 12:00:00,3,Berawan,80,25.0,77.0,31,141,8.7,1011,2023-11-21 12:00:00
