id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Madiun_2023-11-18T18:53:54,Madiun,37*,Angin berputar 189 derajat,21.6 km/h,1009 mbar,2023-11-18 18:53:54
Magetan_2023-11-18T18:53:54,Magetan,37*,Angin berputar 186 derajat,14.7 km/h,1010 mbar,2023-11-18 18:53:54
Kabupaten Malang_2023-11-18T18:53:54,Kabupaten Malang,53,Angin berputar 200 derajat,9 km/h,1012 mbar,2023-11-18 18:53:54
Mojokerto_2023-11-18T18:53:54,Mojokerto,77*,Angin berputar 240 derajat,4.8 km/h,1009 mbar,2023-11-18 18:53:54
Nganjuk_2023-11-18T18:53:54,Nganjuk,37*,Angin berputar 175 derajat,22.9 km/h,1010 mbar,2023-11-18 18:53:54
Pacitan_2023-11-18T18:53:54,Pacitan,39*,Angin berputar 166 derajat,14 km/h,1011 mbar,2023-11-18 18:53:54
Pamekasan_2023-11-18T18:53:54,Pamekasan,92*,Angin berputar 76 derajat,11.8 km/h,1009 mbar,2023-11-18 18:53:54
Pasuruan_2023-11-18T18:53:54,Pasuruan,78*,Angin berputar 33 derajat,13 km/h,1009 mbar,2023-11-18 18:53:54
Ponorogo_2023-11-18T18:53:54,Ponorogo,36*,Angin berputar 192 derajat,14.1 km/h,1010 mbar,2023-11-18 18:53:54
Probolinggo_2023-11-18T18:53:54,Probolinggo,66*,Angin berputar 174 derajat,23.8 km/h,1009 mbar,2023-11-18 18:53:54
Sampang_2023-11-18T18:53:54,Sampang,91*,Angin berputar 168 derajat,12.1 km/h,1009 mbar,2023-11-18 18:53:54
Sidoarjo_2023-11-18T18:53:54,Sidoarjo,88*,Angin berputar 50 derajat,16.7 km/h,1007 mbar,2023-11-18 18:53:54
Situbondo_2023-11-18T18:53:54,Situbondo,63*,Angin berputar 204 derajat,9 km/h,1009 mbar,2023-11-18 18:53:54
Sumenep_2023-11-18T18:53:54,Sumenep,96*,Angin berputar 31 derajat,10.8 km/h,1009 mbar,2023-11-18 18:53:54
Surabaya_2023-11-18T18:53:54,Surabaya,62,Angin berputar 95 derajat,16.7 km/h,1007 mbar,2023-11-18 18:53:54
Trenggalek_2023-11-18T18:53:54,Trenggalek,35*,Angin berputar 169 derajat,9.4 km/h,1012 mbar,2023-11-18 18:53:54
Tuban_2023-11-18T18:53:54,Tuban,69*,Angin berputar 13 derajat,1 km/h,1009 mbar,2023-11-18 18:53:54
Tulungagung_2023-11-18T18:53:54,Tulungagung,34*,Angin berputar 184 derajat,13.9 km/h,1011 mbar,2023-11-18 18:53:54
Surabaya_2023-11-18T18:53:54,Surabaya,62,Angin berputar 95 derajat,16.7 km/h,1007 mbar,2023-11-18 18:53:54
Kediri_2023-11-18T18:53:54,Kediri,36*,Angin berputar 183 derajat,24.4 km/h,1010 mbar,2023-11-18 18:53:54
Mojokerto_2023-11-18T18:53:54,Mojokerto,77*,Angin berputar 240 derajat,4.8 km/h,1009 mbar,2023-11-18 18:53:54
Probolinggo_2023-11-18T18:53:54,Probolinggo,66*,Angin berputar 174 derajat,23.8 km/h,1009 mbar,2023-11-18 18:53:54
Blitar_2023-11-18T18:53:54,Blitar,33*,Angin berputar 191 derajat,14.3 km/h,1011 mbar,2023-11-18 18:53:54
Pasuruan_2023-11-18T18:53:54,Pasuruan,78*,Angin berputar 33 derajat,13 km/h,1009 mbar,2023-11-18 18:53:54
Bengkayang_2023-11-18T18:53:54,Bengkayang,13*,Angin berputar 329 derajat,1.3 km/h,1009 mbar,2023-11-18 18:53:54
Ketapang_2023-11-18T18:53:54,Ketapang,33*,Angin berputar 247 derajat,8.5 km/h,1009 mbar,2023-11-18 18:53:54
Ngabang_2023-11-18T18:53:54,Ngabang,21*,Angin berputar 262 derajat,2 km/h,1009 mbar,2023-11-18 18:53:54
Pontianak_2023-11-18T18:53:54,Pontianak,65,Angin berputar 236 derajat,7.4 km/h,1008 mbar,2023-11-18 18:53:54
Pontianak_2023-11-18T18:53:54,Pontianak,65,Angin berputar 236 derajat,7.4 km/h,1008 mbar,2023-11-18 18:53:54
Sambas_2023-11-18T18:53:54,Sambas,12*,Angin berputar 321 derajat,2 km/h,1009 mbar,2023-11-18 18:53:54
Sanggau_2023-11-18T18:53:54,Sanggau,27*,Angin berputar 222 derajat,3.1 km/h,1009 mbar,2023-11-18 18:53:54
Sekadau_2023-11-18T18:53:54,Sekadau,28*,Angin berputar 213 derajat,3.7 km/h,1009 mbar,2023-11-18 18:53:54
Singkawang_2023-11-18T18:53:54,Singkawang,9*,Angin berputar 289 derajat,4.5 km/h,1009 mbar,2023-11-18 18:53:54
Sintang_2023-11-18T18:53:54,Sintang,11,Angin berputar 288 derajat,2.3 km/h,1009 mbar,2023-11-18 18:53:54
Bandjarbaru_2023-11-18T18:53:54,Bandjarbaru,82,Angin berputar 213 derajat,5.5 km/h,1008 mbar,2023-11-18 18:53:54
Banjarmasin_2023-11-18T18:53:54,Banjarmasin,47*,Angin berputar 201 derajat,6.8 km/h,1009 mbar,2023-11-18 18:53:54
Palangka Raya_2023-11-18T18:53:54,Palangka Raya,32,Angin berputar 194 derajat,4.2 km/h,1009 mbar,2023-11-18 18:53:54
Pulang Pisau_2023-11-18T18:53:54,Pulang Pisau,0,Angin berputar 224 derajat,4.5 km/h,1010 mbar,2023-11-18 18:53:54
