id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Ciamis_2023-11-22T18:00:00,Ciamis,2023-11-22 18:00:00,3,Berawan,90,24.0,75.0,56,144,10.4,1008,2023-11-22 18:00:00
Cianjur_2023-11-22T00:00:00,Cianjur,2023-11-22 00:00:00,1,Cerah Berawan,85,24.0,75.0,63,12,2.1,1012,2023-11-22
Cianjur_2023-11-22T06:00:00,Cianjur,2023-11-22 06:00:00,61,Hujan Sedang,60,28.0,82.0,58,12,3.0,1010,2023-11-22 06:00:00
Cianjur_2023-11-22T12:00:00,Cianjur,2023-11-22 12:00:00,61,Hujan Sedang,85,24.0,75.0,65,360,2.6,1010,2023-11-22 12:00:00
Cianjur_2023-11-22T18:00:00,Cianjur,2023-11-22 18:00:00,3,Berawan,95,19.0,66.0,75,21,1.3,1008,2023-11-22 18:00:00
Cilacap_2023-11-22T00:00:00,Cilacap,2023-11-22 00:00:00,4,Berawan Tebal,75,27.0,81.0,38,129,14.8,1011,2023-11-22
Cilacap_2023-11-22T06:00:00,Cilacap,2023-11-22 06:00:00,4,Berawan Tebal,60,32.0,90.0,56,129,9.6,1010,2023-11-22 06:00:00
Cilacap_2023-11-22T12:00:00,Cilacap,2023-11-22 12:00:00,3,Berawan,80,27.0,81.0,60,149,14.3,1010,2023-11-22 12:00:00
Cilacap_2023-11-22T18:00:00,Cilacap,2023-11-22 18:00:00,4,Berawan Tebal,95,25.0,77.0,53,150,15.0,1008,2023-11-22 18:00:00
Cimahi_2023-11-22T00:00:00,Cimahi,2023-11-22 00:00:00,1,Cerah Berawan,85,22.0,72.0,65,19,1.9,1012,2023-11-22
Cimahi_2023-11-22T06:00:00,Cimahi,2023-11-22 06:00:00,95,Hujan Petir,75,31.0,88.0,69,19,4.8,1011,2023-11-22 06:00:00
Cimahi_2023-11-22T12:00:00,Cimahi,2023-11-22 12:00:00,1,Cerah Berawan,95,23.0,73.0,72,354,6.8,1010,2023-11-22 12:00:00
Cimahi_2023-11-22T18:00:00,Cimahi,2023-11-22 18:00:00,3,Berawan,95,21.0,70.0,76,5,4.2,1008,2023-11-22 18:00:00
Cirebon_2023-11-22T00:00:00,Cirebon,2023-11-22 00:00:00,1,Cerah Berawan,75,29.0,84.0,99,56,13.8,1010,2023-11-22
Cirebon_2023-11-22T06:00:00,Cirebon,2023-11-22 06:00:00,60,Hujan Ringan,55,35.0,95.0,107,56,11.7,1008,2023-11-22 06:00:00
Cirebon_2023-11-22T12:00:00,Cirebon,2023-11-22 12:00:00,60,Hujan Ringan,80,28.0,82.0,113,56,15.0,1008,2023-11-22 12:00:00
Cirebon_2023-11-22T18:00:00,Cirebon,2023-11-22 18:00:00,60,Hujan Ringan,90,26.0,79.0,112,56,10.8,1006,2023-11-22 18:00:00
Demak_2023-11-22T00:00:00,Demak,2023-11-22 00:00:00,1,Cerah Berawan,70,28.0,82.0,79,346,12.2,1010,2023-11-22
Demak_2023-11-22T06:00:00,Demak,2023-11-22 06:00:00,3,Berawan,50,34.0,93.0,75,346,11.3,1009,2023-11-22 06:00:00
Demak_2023-11-22T12:00:00,Demak,2023-11-22 12:00:00,60,Hujan Ringan,80,27.0,81.0,76,318,5.5,1008,2023-11-22 12:00:00
Demak_2023-11-22T18:00:00,Demak,2023-11-22 18:00:00,3,Berawan,90,26.0,79.0,74,314,15.6,1005,2023-11-22 18:00:00
