kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Jepara,2023-11-20 06:00:00,3,55,34.0,93.0,68,148,15.7,1011
Jepara,2023-11-20 12:00:00,60,75,28.0,82.0,73,5,4.6,1010
Jepara,2023-11-20 18:00:00,3,85,26.0,79.0,79,3,9.9,1009
Jombang,2023-11-20 00:00:00,0,80,27.0,81.0,60,174,11.1,1011
Jombang,2023-11-20 06:00:00,0,45,34.0,93.0,56,174,14.0,1011
Jombang,2023-11-20 12:00:00,1,80,29.0,84.0,59,195,0.4,1009
Jombang,2023-11-20 18:00:00,3,90,25.0,77.0,67,197,18.3,1008
Kaimana,2023-11-20 00:00:00,3,80,28.0,82.0,44,133,15.6,1009
Kaimana,2023-11-20 06:00:00,60,65,32.0,90.0,39,133,2.6,1012
Kaimana,2023-11-20 12:00:00,1,95,26.0,79.0,36,127,13.2,1009
Kaimana,2023-11-20 18:00:00,3,95,24.0,75.0,39,127,13.4,1010
Karanganyar,2023-11-20 00:00:00,3,80,27.0,81.0,51,204,12.1,1012
Karanganyar,2023-11-20 06:00:00,3,60,33.0,91.0,53,204,10.6,1012
Karanganyar,2023-11-20 12:00:00,3,75,28.0,82.0,36,208,6.9,1010
Karanganyar,2023-11-20 18:00:00,3,85,25.0,77.0,37,204,16.5,1008
Karawang,2023-11-20 00:00:00,1,80,25.0,77.0,89,319,5.8,1010
Karawang,2023-11-20 06:00:00,60,55,35.0,95.0,89,319,5.8,1010
Karawang,2023-11-20 12:00:00,61,80,25.0,77.0,89,319,5.8,1010
Karawang,2023-11-20 18:00:00,60,90,23.0,73.0,89,319,5.8,1010
Kebumen,2023-11-20 00:00:00,4,80,27.0,81.0,60,166,4.9,1012
Kebumen,2023-11-20 06:00:00,3,60,32.0,90.0,56,166,3.6,1012
Kebumen,2023-11-20 12:00:00,4,75,28.0,82.0,50,160,15.6,1012
Kebumen,2023-11-20 18:00:00,4,85,24.0,75.0,44,158,14.3,1010
Kediri,2023-11-20 00:00:00,0,80,28.0,82.0,47,178,15.0,1012
Kediri,2023-11-20 06:00:00,60,50,34.0,93.0,39,178,17.2,1011
Kediri,2023-11-20 12:00:00,1,85,28.0,82.0,37,183,20.6,1010
Kediri,2023-11-20 18:00:00,3,95,25.0,77.0,39,182,25.3,1010
Kendal,2023-11-20 00:00:00,1,75,28.0,82.0,63,319,6.4,1011
Kendal,2023-11-20 06:00:00,3,55,34.0,93.0,58,319,7.9,1011
Kendal,2023-11-20 12:00:00,3,75,28.0,82.0,62,350,9.0,1010
Kendal,2023-11-20 18:00:00,3,85,26.0,79.0,60,346,9.0,1009
Kendari,2023-11-20 00:00:00,1,80,29.0,84.0,57,64,1.2,1010
Kendari,2023-11-20 06:00:00,3,55,33.0,91.0,58,64,2.3,1011
Kendari,2023-11-20 12:00:00,1,80,27.0,81.0,59,80,13.8,1008
Kendari,2023-11-20 18:00:00,1,95,25.0,77.0,59,72,6.3,1009
Kepahiang,2023-11-20 00:00:00,3,100,21.0,70.0,47,181,0.8,1013
Kepahiang,2023-11-20 06:00:00,3,70,31.0,88.0,42,181,0.9,1012
Kepahiang,2023-11-20 12:00:00,45,100,20.0,68.0,41,227,4.1,1012
Kepahiang,2023-11-20 18:00:00,3,95,18.0,64.0,41,218,4.4,1011
Ketapang,2023-11-20 00:00:00,4,85,27.0,81.0,27,228,8.8,1011
Ketapang,2023-11-20 06:00:00,3,60,33.0,91.0,29,228,4.5,1010
Ketapang,2023-11-20 12:00:00,3,80,26.0,79.0,32,235,7.8,1010
Ketapang,2023-11-20 18:00:00,3,95,24.0,75.0,37,237,11.8,1009
Klungkung,2023-11-20 00:00:00,3,85,28.0,82.0,39,175,0.9,1012
Klungkung,2023-11-20 06:00:00,60,65,32.0,90.0,37,175,3.5,1012
Klungkung,2023-11-20 12:00:00,1,80,28.0,82.0,33,159,13.5,1011
Klungkung,2023-11-20 18:00:00,1,80,26.0,79.0,34,160,7.7,1011
Kolaka,2023-11-20 00:00:00,1,75,29.0,84.0,45,238,5.7,1011
Kolaka,2023-11-20 06:00:00,1,55,33.0,91.0,54,238,3.5,1012
Kolaka,2023-11-20 12:00:00,1,80,27.0,81.0,43,223,7.4,1010
Kolaka,2023-11-20 18:00:00,1,90,25.0,77.0,49,225,1.9,1010
Kudus,2023-11-20 00:00:00,1,80,27.0,81.0,76,169,14.9,1011
Kudus,2023-11-20 06:00:00,3,55,33.0,91.0,67,169,10.1,1011
Kudus,2023-11-20 12:00:00,3,75,28.0,82.0,65,155,12.6,1010
Kudus,2023-11-20 18:00:00,3,85,25.0,77.0,68,360,6.2,1009
Kuningan,2023-11-20 00:00:00,1,85,24.0,75.0,60,162,11.2,1013
Kuningan,2023-11-20 06:00:00,60,60,34.0,93.0,56,162,10.9,1012
Kuningan,2023-11-20 12:00:00,1,85,24.0,75.0,54,174,12.1,1012
Kuningan,2023-11-20 18:00:00,60,90,21.0,70.0,55,176,11.5,1010
Lahat,2023-11-20 00:00:00,1,80,24.0,75.0,60,24,3.7,1012
Lahat,2023-11-20 06:00:00,61,60,32.0,90.0,63,24,3.6,1011
Lahat,2023-11-20 12:00:00,3,70,28.0,82.0,62,48,5.6,1011
Lahat,2023-11-20 18:00:00,1,90,23.0,73.0,54,40,5.1,1008
Lamongan,2023-11-20 00:00:00,0,75,29.0,84.0,79,39,2.8,1011
Lamongan,2023-11-20 06:00:00,0,45,34.0,93.0,72,39,9.9,1011
Lamongan,2023-11-20 12:00:00,1,75,29.0,84.0,82,32,6.6,1009
Lamongan,2023-11-20 18:00:00,1,85,25.0,77.0,72,37,9.2,1008
