id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Mamuju_2023-11-24T00:00:00,Mamuju,2023-11-24 00:00:00,60,Hujan Ringan,85,26.0,79.0,12,345,4.6,1008,2023-11-24
Mamuju_2023-11-24T06:00:00,Mamuju,2023-11-24 06:00:00,60,Hujan Ringan,80,28.0,82.0,12,345,6.5,1008,2023-11-24 06:00:00
Mamuju_2023-11-24T12:00:00,Mamuju,2023-11-24 12:00:00,63,Hujan Lebat,85,26.0,79.0,11,345,7.5,1008,2023-11-24 12:00:00
Mamuju_2023-11-24T18:00:00,Mamuju,2023-11-24 18:00:00,63,Hujan Lebat,95,22.0,72.0,11,345,6.8,1008,2023-11-24 18:00:00
Manado_2023-11-24T00:00:00,Manado,2023-11-24 00:00:00,60,Hujan Ringan,95,24.0,75.0,31,92,1.8,1008,2023-11-24
Manado_2023-11-24T06:00:00,Manado,2023-11-24 06:00:00,95,Hujan Petir,95,26.0,79.0,36,92,11.1,1009,2023-11-24 06:00:00
Manado_2023-11-24T12:00:00,Manado,2023-11-24 12:00:00,1,Cerah Berawan,95,24.0,75.0,26,40,3.7,1009,2023-11-24 12:00:00
Manado_2023-11-24T18:00:00,Manado,2023-11-24 18:00:00,3,Berawan,95,22.0,72.0,12,38,5.5,1008,2023-11-24 18:00:00
Manokwari_2023-11-24T00:00:00,Manokwari,2023-11-24 00:00:00,60,Hujan Ringan,85,27.0,81.0,57,126,2.4,1007,2023-11-24
Manokwari_2023-11-24T06:00:00,Manokwari,2023-11-24 06:00:00,60,Hujan Ringan,70,31.0,88.0,57,126,4.6,1009,2023-11-24 06:00:00
Manokwari_2023-11-24T12:00:00,Manokwari,2023-11-24 12:00:00,3,Berawan,85,27.0,81.0,57,126,17.6,1008,2023-11-24 12:00:00
